full_name
AAA DEVELOPMENT BALI
RAJA PERDANA INTI
RAJAWALI BARA MAKMUR
RAJAWALI EMAS ANCORA LESTARI
RAJA WALI SAMPIT
RAJAWALI SIGI LESTARI
RANTE MUTIARA INSANI
RAPAN SEJAHTERA MANDIRI
RATRI SEMPANA
RAVA ATHAYA
RAWA INDAH PAPUA
RENTALINDO PERDANA
RENY ABADI
RESTU BUNDA FAMILY
RESTU TANJUNG PERMAI
REZKI MINERAL SEJAHTERA
RIANKEZDEV PAPUA
RIAU ANDALAN PULP & PAPER
RIAU JAYA LESTARI
RIAU MESTIKA JAYA
RICKIM MAS JAYA SAKTI
RICOBANA ABADI
RIFANSI DWI PUTRA
RIMBA MUTIARA KUSUMA
RIMBA PANCA MAKMUR
RIMBA PERKASA UTAMA
RIMBA PRIMA MAS
RIMBA UTAMA ABADI
RIMBUN SAWIT PAPUA
RIUNG MITRA LESTARI
RIZKY MAHA KARYA UTAMA
ROADMIXINDO RAYA
ROBIYANI SAPUTRA
ROBY SETIADI
RODA JAYA SAKTI
ROLINDO INTI MANDIRI
ROSALIA INDAH TRANSPORT
ROSWELL KARYA ABADI
RPP CONTRACTORS INDONESIA
RUBY INTERNATIONAL MINING
RUDINA ABADI
RUNA PERSADA
RYAN EKA PRATAMA
SAAINTI KREASI TEKNIK
SABERINDO PACIFIC
SACINDO MACHINERY
SAFRUDIN
SAGO NAULI
SAHABAT HIJAU LESTARI
SAJANG HEULANG
SAKTIPERKASA NUSAPERMAI
SALAWATI MOTORINDO
SAMAENRE JUJUR PERKASA
SAME DIAK UNIPESOAL
SAMPOERNA JAYA MAJU
SAMUDERA BERLIAN BERDIKARI
SAMUDERA MULIA ABADI
SAMUDRA MAJU PERKASA
SANKYU INDONESIA INTERNATIONAL
SAN PUTRA SEJAHTERA
SANTAN BORNEO ABADI
SAPTAINDRA SEJATI
SAPTA JAYA LINTAS BORNEO
SAPTA SENTOSA JAYA ABADI
SARANA BAJA PERKASA
SARANA BINA SUKSES
SARANA BUMI BORNEO
SARANA INDUSTAMA PERKASA
SARANA INDUSTRI UTAMA
SARANA MULTI TALENTA
SARANA PALOGADA
SARANA RINTASINDAH
SARANA SUKSES SEJAHTERA
SARANA SUMBER ABADI
SARI ADITYA LOKA
SARIMAS MEGA BARINDO
SARMA HARAPAN BERSINAR
SASMAKA LESTARI KARYA
SATRIA ABADI
SATRIA ALAM MANUNGGAL
SATRIA BAHANA SARANA
SATRIA GROUP
SATRIA JAYA SENTOSA
SATRIA JAYA SULAWESI SATU
SATRIA JAYA SULTRA
SATRIA MULTI SUKSES
SATU ENAM DELAPAN TRANSPORTASI
SATUI TERMINAL UMUM
SATYA KISMA USAHA
SAWINDO KENCANA
SAWIT ASAHAN INDAH
SAWIT KALTIM LESTARI
SAWITMAS NUGRAHA PERDANA
SAWIT MAS SEJAHTERA
SAWIT MITRA ABADI
SEBYAR MOSKONA PERSADA
SEGARA HERO SAKTI
SEJATI ABADI PERKASA
SEJATI BUMI MERAPI
SEKAWAN KONTRINDO
SEKRETARIAT DIREKTORAT JENDERAL
SELAMAT JAYA
SELARAS SIMPATI NUSANTARA
SEMANGAT SEJAHTERA MULIA
SEMARAK TAMBANG NUSANTARA
SEMBADA SENNAH MAJU
SEMBILAN BENUA PERKASA
SEMEN BOSOWA MAROS
SEMESTA ALAM KENCANA
SEMESTA MANDIRI INDONESIA
SEMESTA TRANSPORTASI LIMBAH INDONESIA
SEMPUNG BERKAT UTAMA
SEMUEL KARAPA
SENTOSA LAJU SEJAHTERA
SENTRA KARYA MANDIRI
SERINDING SUMBER MAKMUR
SETIA JAYA NICKELINDO
SIANARI PRATAMA JAYA
SIMBAT JAYA BERSAUDARA
SIMS JAYA KALTIM
SINAR AGUNG BARU
SINAR AGUNG LESTARI PRATAMA
SINAR ALAM PLANTATIONS
SINARBALI BINAKARYA
SINAR BERKAH INDONESIA
SINAR BUMI MANDIRI
SINAR GUNUNG SAWIT RAYA
SINAR JAYA VISIBEL
SINAR KALIMANTAN
SINAR KARYA MANDIRI
SINAR KENCANA INTI PERKASA
SINAR KURNIA ALAM
SINAR MAS AGRO RESOURCES AND
SINAR MITRA JAYA
SINAR MUDA SEJAHTERA
SINAR NIRWANA SARI
SINAR RIAU PERKASA PRIMA
SINAR SURYA KONSTRUKSI
SINAR TAMBANG ARTHALESTARI
SINAR TERANG MANDIRI Tbk
SINAR TOROA INDAH
SINGOSARI KARUNIA SEJAHTERA
SINSUMO FRICTION INDONESIA
SISWANTO
SOLUSI HIDUP MANDIRI
SRIKANDI DAYA MANDIRI
STANCHAR KARYA UTAMA
"STEFANUS ARIJANTO PRANATA, IR"
STRAITS MINING SERVICES
SUBUR ARUM MAKMUR
SUGINAH
SUKAJADI SAWIT MEKAR
SUKRI MANJA
SUKSES MANDIRI BERKAH
SULFINDO ADIUSAHA
SUMATERA ASIA MANDIRI
SUMBER BENUA ETAM
SUMBER CAKRAWALA INTERNATIONAL
SUMBERINDO SUKSES SARANA
SUMBER JAYA SEMPURNA
SUMBER KARYA MAKMUR LESTARI
SUMBER KHARISMA PERSADA
SUMBER LOGAM NUSANTARA
SUMBER MITRA JAYA
SUMBER MULTI REJEKI
SUMBER NIAGA UTAMA JAYA
SUMBER PANCA ENERGI
SUMBER REJEKI PUTRA
SUMBER REJEKI TRANSJAYA
SUMBER REZEKI
SUMBER SARANA UTAMA
SUMBER SATRIA JAYA
SUMBER SEGARA PRIMADAYA
SUMBER WIWIRANO
SUPRA BARA ENERGI
SUPREME ENERGY RANTAU DEDAP
SURAINDO BARA
SURIYONO K
SURYA AMINDO PERKASA
SURYA BARU PRIMA NUSANTARA
SURYA BINTANG INDONESIA
SURYABUMI AGRO LANGGENG
SURYABUMI TUNGGAL PERKASA
SURYA CAKRA ANUGERAH NUSANTARA
SURYA CINTAPURI PRATAMA
SURYA DJAYA MINING
SURYA ELEKTRINDO JAYA
SURYA ENERGI NIAGA
SURYA INDAH NUSANTARA PAGI
SURYA LUBRIKINDO
SURYA MULTI CEMERLANG
SURYA SAWIT SEJATI
SURYA TRANSEJATI JAYA
SUTARNO
SWARNA CINDE RAYA
SWASTIKA KARYA TAMA
SWEET INDOLAMPUNG
TAHASAK SUNGEI KAHAYAN
TAKENAKA INDONESIA
TAMBANG BUKIT TAMBI
TAMBANG RAYA USAHA TAMA
TANJUNGENIM LESTARI PULP AND PAPER
TANJUNG MAS PERKASA UTAMA
TANJUNGSARI PRIMA SENTOSA
TANJUNG ULIE JAYA
TAPIAN NADENGGAN
TARBANTIN MAKMUR ABADI
TARIANTO
TATA BUANA KARYA
TATSUMI SERUNI INDONESIA
TEDDY SUTARI
TEGUH WANDOKO
TEGUHWIBAWA BHAKTIPERSADA
TELAGA BARU JAYA
TELUK NAULI
TEMPOPRESS MINING INDONESIA
TE'NE JAYA
TERATAI EMAS PRIMA
THEODORUS FIJAY
THIESS CONTRACTORS INDONESIA
TIDAR BHAKTI JAYA
TIGA BINTANG MINERAL
TIGA MENARA KARYA
TIGA MUSTIKA AGUNG
TIGA PILAR GUNUNG BATU
TIGA PUTRA DELAPAN ENAM
TIMIKA PROPERTINDO JAYA
"TIMOR VEHICLES, UNIPESSOAL, LDA."
TIMUR SATRIA PERKASA
TIMUR TERANG TRANSINDO
TIRTA BARA NUSANTARA
TIRTA SAMBAWA
TIRTHA WANDHIRA UTAMA
TITIAN TRANS ENERGY
TOMBROK JAYA PERMAI
TONG TJI TEA INDONESIA
TONIA MITRA SEJAHTERA
TPI BERKAT SUKSES
TRAMINDONA KUSUMA JAYA
TRANS ANTARNUSA MULYA
TRANSKARYA USAHAMAJU
TRANS POWER MARINE TBK
TRI BAHTERA SRIKANDI
TRI CITRA PERDANA
TRIDAYA UPAYA SAKTI (TRIDAYASA)
TRIDEA SENADA
TRIEKA AGRO NUSANTARA
TRIGANA ABADI SWAKARSA
TRILIM KURNIAWAN
TRI MANDIRI JAYA USAHA
TRIMEGAH BANGUN PERSADA TBK
TRIMITRA SUKSES PERKASA
TRINDO JAYA PASIFIK
TRINITY AUTO
TRI PUTRA ERGUNA
TRISTAR JAYA PERKASA
TRI TUNGGAL PERDANA
TRI WIRA JAYA
TRUBO ENGINEERING
TUAH TURANGGA AGUNG
TULUS TUNGGAL PERDANA
TUNAS BINTANG SEJAHTERA
TUNAS BORNEO PLANTATIONS
TUNAS JAYA PERKASA
TUNAS JAYA SEMPURNA
"ULIMA NITRA, TBK"
ULTRATREX INDONESIA
UMEKAH SARIPRATAMA
UNGGUL DINAMIKA UTAMA
UNIRICH MEGA PERSADA
UNITEDA ARKATO
UNITED EQUIPMENT INDONESIA
UNITED TRACTORS PANDU ENGINEERING
UNITED TRACTORS SEMEN GRESIK
UNIT PENGELOLA SAMPAH TERPADU
UNIVERSAL GLOVES
UNIVERSAL SUPPORT
UNIVERSAL TEKNO REKSAJAYA
UNTUNG SAMPURNO
UPAJAYA RAYA
USAHA KITA KINERJATAMA
USAHA RAYA ADIPURATAMA
UTAMA FAJAR ANUGERAH
UTAMA TRAKTOR
UTAMA WIRA KARYA JAYA PERKASA
VADHANA INTERNATIONAL
VALE INDONESIA TBK
VANESSA MANDIRI SEJAHTERA
VENUE INARI PRATAMA
VIOLA PUTRI MANDIRI
VMS MINING SERVICES
WAHANA BANDHAWA KENCANA
WAHANA BARATAMA MINING
WAHYU PUTRA RAMADHAN
WAHYU SATRIA MANDIRI
WAHYU WIDODO
WAN ARTHA NATA INDONESIA
WARAGONDA MINERALS PRATAMA
WARU KALTIM PLANTATIONS
WASA MITRA ENGINEERING
WASKITA - JAYA KONSTRUKSI - SACNA KSO
WATU MERIBA JAYA
WATU PERKASA ABADI
WEDA BAY NICKEL
WIBOWO MULIA SEJAHTERA
WIJAYA MANDIRI ENERGI
WIJAYA SENTOSA
WILCO ANDALAN HARMONI
WILSON KONTRINDO ABADI
WILSON PANJAITO
WINDU NABATINDO LESTARI
WINGS SEJATI
WINGS SEJATI TRANS
WIRA BHUMI SEJATI
WIRA ENERGI UTAMA
WIRA KARYA MAKMUR
WIRA PUTRA PERKASA
WOLTER KRISTIAN MANSABURI
WUKIRASARI
YAKOT MAT TUJUH TUJUH
YESSOE TRANSPORTASI INDONESIA
YUSTINA PRIMA MANDIRI
ZEGAR INTI PAPUA
ZEN SEMBILAN SEMBILAN
ZIKO YADA PUTRA
